bank,market_share,market_share_squared,HHI
bajaj finance,4.00005000174061e-05,1.6000400016425052e-09,0.10041754106594854
manipur rural,3.9269615591089354e-05,1.542102708671928e-09,0.10041754106594854
the kosamba mercantile cooperative bank,3.899118717231917e-05,1.5203126771068269e-09,0.10041754106594854
the tamil nadu state apex co operative bank,3.768719318628077e-05,1.4203245302600476e-09,0.10041754106594854
garagepreneurs internet private limited slice,3.6979055848539524e-05,1.3674505714494052e-09,0.10041754106594854
eroute technologies private,3.6574340206445195e-05,1.3376823615367935e-09,0.10041754106594854
shree kadi nagarik sahakari bank,3.656277370656745e-05,1.33683642111766e-09,0.10041754106594854
paschim banga gramin,3.652298566879851e-05,1.3339284821632612e-09,0.10041754106594854
sbm bank india,3.638576152382183e-05,1.3239236416684332e-09,0.10041754106594854
sindhudurg district central co op bank ltd sindhudurg,3.6024855064185546e-05,1.297790182395575e-09,0.10041754106594854
ahmednagar merchants coop bank,3.595677580384174e-05,1.2928897262077389e-09,0.10041754106594854
the nasik merchants cooperative bank,3.5095021509055166e-05,1.2316605347210448e-09,0.10041754106594854
au small finance bank credit card,3.502375883472838e-05,1.2266636829132141e-09,0.10041754106594854
the ap mahesh cooperative urban bank,3.497083188408746e-05,1.222959082665108e-09,0.10041754106594854
the karad urban coop bank,3.457451541128131e-05,1.195397115924929e-09,0.10041754106594854
suvarnayug sahakari bank,3.366434654399704e-05,1.1332882282343254e-09,0.10041754106594854
the district cooperative central bank ltdmedak,3.3558577754629165e-05,1.1261781409134914e-09,0.10041754106594854
vasai vikas sahakari,3.243741665512586e-05,1.0521859992582366e-09,0.10041754106594854
the cosmos coop bank,3.191235563817602e-05,1.018398442377425e-09,0.10041754106594854
kalupur commcoop,3.181989731143218e-05,1.0125058649100887e-09,0.10041754106594854
pune peoples co operative bank,3.122735992587865e-05,9.751480079403719e-10,0.10041754106594854
the kota central cooperative bank,3.120974831028168e-05,9.7404838959113e-10,0.10041754106594854
mizoram cooperative apex bank,3.081971886558846e-05,9.498550709539093e-10,0.10041754106594854
bhagini nivedita sahakari bank ltd pune,3.011075592778309e-05,9.066576225425244e-10,0.10041754106594854
the national cooperative bank,2.9495122063639535e-05,8.699622255489957e-10,0.10041754106594854
rajarshi shahu sahakari bank,2.9361018943114098e-05,8.620694333779049e-10,0.10041754106594854
amreli jilla madhyastha sahakari bank,2.874472964351545e-05,8.262594822787958e-10,0.10041754106594854
