entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%
capital small finance,290.0595782,318.3037488,0.00069318,0.000760677
surat distcoop bank,289.1380312,274.3314384,0.000690978,0.000655593
the godhra urban cooperative bank,287.9511061,286.2681238,0.000688141,0.000684119
brahmadeodada mane sahakari bank ltd solapur,286.7299912,205.2919168,0.000685223,0.000490603
the agrasen cooperative urban bank,286.4130525,439.1202429,0.000684465,0.001049403
the bhagyalakshmi mahila sahakari bank,285.4619995,369.0871688,0.000682193,0.000882039
the kukarwada nagarik sahakari bank,285.0331705,244.5217654,0.000681168,0.000584354
kerala state,284.1926389,209.8158907,0.000679159,0.000501415
pali urban cooperative bank,278.5865748,252.2642725,0.000665762,0.000602857
the puri urban cooperative bank,277.6406986,318.4332558,0.000663501,0.000760987
the sangamner merchants co operative bank,275.0382101,320.5866485,0.000657282,0.000766133
lala urban cooperative bank,273.3537619,307.3528226,0.000653257,0.000734507
ahmedabad mercantile coop bank,272.1705873,244.2949241,0.000650429,0.000583812
esaf small finance,272.0974465,231.5397548,0.000650254,0.00055333
the sarvodaya nagrik sahkari bank,271.351458,240.0747339,0.000648472,0.000573727
adarniya p d patilsaheb sahakari bank ltd karad,269.4321725,207.913764,0.000643885,0.000496869
indrayani cooperative bank,267.0983984,229.9132836,0.000638308,0.000549443
bhavna rishi co operative urban bank,266.4685716,272.1102543,0.000636802,0.000650285
